refugees_tot,asylum_ctry_code,region_origin,old_ctry_origin,region_asylum,origin_ctry_code,sub_region_asylum, new_id,total_refugees_refugee_like_assisted_unhcr,origin_ctry,refugees_assisted_unhcr,year,sub_region_origin,old_ctry_asylum,total_refugees_refugee_like_situations,asylum_ctry
,NULL,Europe,Bosnia and Herzegovina,NULL,BIH,NULL,4714,0,Bosnia and Herzegovina,,2009,South-Eastern Europe,Various,0,Various
,NULL,Middle East and North Africa,Iraq,NULL,IRQ,NULL,4715,0,Iraq,,2009,Middle East,Various,0,Various
,LBN,Africa,Eritrea,Middle East and North Africa,ERI,Middle East,7147,,Eritrea,,2008,East and Horn of Africa,Lebanon,5,Lebanon
,LBN,Africa,Ghana,Middle East and North Africa,GHA,Middle East,7149,,Ghana,,2008,West Africa,Lebanon,1,Lebanon
,BDI,Africa,Benin,Africa,BEN,Central Africa and the Great Lakes,9952,6,Benin,,2007,West Africa,Burundi,6,Burundi
,KWT,Africa,Somalia,Middle East and North Africa,SOM,Middle East,11586,30,Somalia,,2007,East and Horn of Africa,Kuwait,2000,Kuwait
,ROU,Africa,Guinea,Europe,GIN,Central Europe,24746,3,Guinea,3,2004,West Africa,Romania,,Romania
,ROU,Africa,Guinea-Bissau,Europe,GNB,Central Europe,24747,1,Guinea-Bissau,1,2004,West Africa,Romania,,Romania
,ROU,Asia and the Pacific,India,Europe,IND,Central Europe,24748,2,India,2,2004,South Asia,Romania,,Romania
,ROU,Africa,Kenya,Europe,KEN,Central Europe,24753,1,Kenya,1,2004,East and Horn of Africa,Romania,,Romania
,ROU,Middle East and North Africa,Kuwait,Europe,KWT,Central Europe,24754,1,Kuwait,1,2004,Middle East,Romania,,Romania
,ARE,Asia and the Pacific,Myanmar,Middle East and North Africa,MMR,Middle East,25450,1,Myanmar,1,2004,South-East Asia,United Arab Emirates,,United Arab Emirates
,BLR,Africa,Cameroon,Europe,CMR,Eastern Europe,26150,1,Cameroon,1,2003,Central Africa and the Great Lakes,Belarus,,Belarus
,ROU,Middle East and North Africa,Mauritania,Europe,MRT,Central Europe,28630,1,Mauritania,1,2003,North Africa,Romania,,Romania
,ZAF,Africa,Eritrea,Africa,ERI,Southern Africa,28773,2,Eritrea,2,2003,East and Horn of Africa,South Africa,,South Africa
,ARE,Asia and the Pacific,Uzbekistan,Middle East and North Africa,UZB,Middle East,29325,4,Uzbekistan,4,2003,Central Asia,United Arab Emirates,,United Arab Emirates
,COL,The Americas,Chile,The Americas,CHL,Latin America,34145,4,Chile,4,2001,Latin America,Colombia,,Colombia
,ROU,Africa,Angola,Europe,AGO,Central Europe,38990,4,Angola,4,2000,Southern Africa,Romania,,Romania
,ROU,Africa,Cameroon,Europe,CMR,Central Europe,38995,11,Cameroon,11,2000,Central Africa and the Great Lakes,Romania,,Romania
,UKR,Middle East and North Africa,Jordan,Europe,JOR,Eastern Europe,39587,1,Jordan,1,2000,Middle East,Ukraine,,Ukraine
